Output|H5 (00001)|H4 (00011)|H3 (00111)|H2 (01111)|H1 (11111)|[1] P_PSI|[1] P_PHI|[1] V_PSI|[1] V_PHI|[1] p_psi_psi|[1] p_phi_psi|[1] p_psi_phi|[1] p_phi_phi|[1] result|[1] P(result)|[1] H5|[1] H4|[1] H3|[1] H2|[1] H1|[2] P_PSI|[2] P_PHI|[2] V_PSI|[2] V_PHI|[2] p_psi_psi|[2] p_phi_psi|[2] p_psi_phi|[2] p_phi_phi|[2] result|[2] P(result)|[2] H5|[2] H4|[2] H3|[2] H2|[2] H1|[3] P_PSI|[3] P_PHI|[3] V_PSI|[3] V_PHI|[3] p_psi_psi|[3] p_phi_psi|[3] p_psi_phi|[3] p_phi_phi|[3] result|[3] P(result)|[3] H5|[3] H4|[3] H3|[3] H2|[3] H1|[4] P_PSI|[4] P_PHI|[4] V_PSI|[4] V_PHI|[4] p_psi_psi|[4] p_phi_psi|[4] p_psi_phi|[4] p_phi_phi|[4] result|[4] P(result)|[4] H5|[4] H4|[4] H3|[4] H2|[4] H1|[5] P_PSI|[5] P_PHI|[5] V_PSI|[5] V_PHI|[5] p_psi_psi|[5] p_phi_psi|[5] p_psi_phi|[5] p_phi_phi|[5] result|[5] P(result)|[5] H5|[5] H4|[5] H3|[5] H2|[5] H1
01011||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.2956|0.2278|0.2278|0.1692|0.2060|0.1692|0.2278|0.2278|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5267|0.1950|0.2374|0.1764|0.2147|0.1764|0.0000|0.2374|[-0.19535677 -0.98073224]|[-0.98073224  0.19535677]|0.0592|0.9408|0.0216|0.9784|Phi|0.9784|0.1950|0.2374|0.1764|0.2147|0.1764
01100|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Psi|0.1905|0.2380|0.1633|0.1861|0.2265|0.1861|0.0000|0.2380|[-0.19493155 -0.98081685]|[-0.98081685  0.19493155]|0.0590|0.9410|0.0215|0.9785|Psi|0.0215|0.2380|0.1633|0.1861|0.2265|0.1861
01101|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Psi|0.1905|0.2380|0.1633|0.1861|0.2265|0.1861|0.0000|0.2380|[-0.19493155 -0.98081685]|[-0.98081685  0.19493155]|0.0590|0.9410|0.0215|0.9785|Phi|0.9785|0.2380|0.1633|0.1861|0.2265|0.1861
01110||||X||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Phi|0.8095|0.1621|0.1796|0.2046|0.2491|0.2046|0.0000|0.2491|[-0.18716005 -0.98232943]|[-0.98232943  0.18716005]|0.0553|0.9447|0.0192|0.9808|Psi|0.0192|0.1621|0.1796|0.2046|0.2491|0.2046
01111||||X||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Phi|0.8095|0.1621|0.1796|0.2046|0.2491|0.2046|0.0000|0.2491|[-0.18716005 -0.98232943]|[-0.98232943  0.18716005]|0.0553|0.9447|0.0192|0.9808|Phi|0.9808|0.1621|0.1796|0.2046|0.2491|0.2046
10000|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4745|0.2772|0.2277|0.1870|0.1390|0.1692|0.0000|0.2772|[-0.16989347 -0.98546243]|[-0.98546243  0.16989347]|0.0475|0.9525|0.0147|0.9853|Psi|0.0147|0.2772|0.2277|0.1870|0.1390|0.1692
10001|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4745|0.2772|0.2277|0.1870|0.1390|0.1692|0.0000|0.2772|[-0.16989347 -0.98546243]|[-0.98546243  0.16989347]|0.0475|0.9525|0.0147|0.9853|Phi|0.9853|0.2772|0.2277|0.1870|0.1390|0.1692
10010||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5255|0.2056|0.2502|0.2056|0.1527|0.1859|0.0000|0.2502|[-0.18639397 -0.98247508]|[-0.98247508  0.18639397]|0.0549|0.9451|0.0190|0.9810|Psi|0.0190|0.2056|0.2502|0.2056|0.1527|0.1859
10011||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4932|0.2395|0.2395|0.1968|0.1462|0.1780|0.2395|0.2395|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5255|0.2056|0.2502|0.2056|0.1527|0.1859|0.0000|0.2502|[-0.18639397 -0.98247508]|[-0.98247508  0.18639397]|0.0549|0.9451|0.0190|0.9810|Phi|0.9810|0.2056|0.2502|0.2056|0.1527|0.1859
10100|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4706|0.1917|0.1917|0.1917|0.1917|0.2333|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.3129|0.2152|0.2152|0.2152|0.1599|0.1946|0.2152|0.2152|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5068|0.1915|0.1915|0.2331|0.1732|0.2108|0.1915|0.2331|[-0.55263773 -0.83342159]|[-0.83342159  0.55263773]|0.3515|0.6485|0.2612|0.7388|Psi|0.2785|0.2417|0.1796|0.2186|0.1624|0.1977|0.0000|0.2417|[-0.19230443 -0.98133532]|[-0.98133532  0.19230443]|0.0577|0.9423|0.0207|0.9793|Psi|0.0207|0.2417|0.1796|0.2186|0.1624|0.1977
